lineage_id,excluded_split,reason,spans
LCW_280.png,test,lineage leak to train,"test,train"
LCW_283.png,test,lineage leak to train,"test,train"
LCW_286.png,test,lineage leak to train,"test,train"
LCW_287.png,test,lineage leak to train,"test,train"
LCW_288.png,test,lineage leak to train,"test,train"
LCW_295.png,test,lineage leak to train,"test,train"
LCW_30.png,test,lineage leak to train,"test,train"
LCW_302.png,test,lineage leak to train,"test,train"
LCW_305.png,test,lineage leak to train,"test,train"
LCW_308.png,test,lineage leak to train,"test,train"
LCW_313.png,test,lineage leak to train,"test,train"
LCW_314.png,test,lineage leak to train,"test,train"
LCW_315.png,test,lineage leak to train,"test,train"
LCW_317.png,test,lineage leak to train,"test,train"
LCW_321.png,test,lineage leak to train,"test,train"
LCW_323.png,test,lineage leak to train,"test,train"
LCW_324.png,test,lineage leak to train,"test,train"
LCW_325.png,test,lineage leak to train,"test,train"
LCW_331.png,test,lineage leak to train,"test,train"
LCW_332.png,test,lineage leak to train,"test,train"
LCW_334.png,test,lineage leak to train,"test,train"
LCW_335.png,test,lineage leak to train,"test,train"
LCW_338.png,test,lineage leak to train,"test,train"
LCW_339.png,test,lineage leak to train,"test,train"
LCW_34.png,test,lineage leak to train,"test,train"
LCW_345.png,test,lineage leak to train,"test,train"
LCW_35.png,test,lineage leak to train,"test,train"
LCW_359.png,test,lineage leak to train,"test,train"
LCW_36.png,test,lineage leak to train,"test,train"
LCW_363.png,test,lineage leak to train,"test,train"
LCW_365.png,test,lineage leak to train,"test,train"
LCW_368.png,test,lineage leak to train,"test,train"
LCW_369.png,test,lineage leak to train,"test,train"
LCW_371.png,test,lineage leak to train,"test,train"
LCW_374.png,test,lineage leak to train,"test,train"
LCW_43.png,test,lineage leak to train,"test,train"
LCW_46.png,test,lineage leak to train,"test,train"
LCW_63.png,test,lineage leak to train,"test,train"
LCW_64.png,test,lineage leak to train,"test,train"
LCW_72.png,test,lineage leak to train,"test,train"
LCW_76.png,test,lineage leak to train,"test,train"
LCW_79.png,test,lineage leak to train,"test,train"
LCW_81.png,test,lineage leak to train,"test,train"
LCW_82.png,test,lineage leak to train,"test,train"
LCW_85.png,test,lineage leak to train,"test,train"
LCW_91.png,test,lineage leak to train,"test,train"
LCW_92.png,test,lineage leak to train,"test,train"
LCW_93.png,test,lineage leak to train,"test,train"
LCW_97.png,test,lineage leak to train,"test,train"
CRACK500_20160329_103807.png,val,lineage split with test,"test,val"
CrSpEE_NZ006_Damage_2.png,val,lineage split with test,"test,val"
CrSpEE_beams_shear_failure-17.png,val,lineage split with test,"test,val"
DeepCrack_11289-4.png,val,lineage split with test,"test,val"
LCW_111.png,val,lineage split with test,"test,val"
LCW_189.png,val,lineage split with test,"test,val"
LCW_2.png,val,lineage split with test,"test,val"
LCW_251.png,val,lineage split with test,"test,val"
LCW_258.png,val,lineage split with test,"test,val"
LCW_263.png,val,lineage split with test,"test,val"
LCW_306.png,val,lineage split with test,"test,val"
LCW_337.png,val,lineage split with test,"test,val"
LCW_361.png,val,lineage split with test,"test,val"
LCW_49.png,val,lineage split with test,"test,val"
